Agcy Name,Org Name,Pborg Seq,Pborg Seq Managed By,Org Order,Location,Title,Name of Incumbent,Type of Appt,Pay Plan,Pay,Tenure,Expires,Pb Order
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Chair,Vacant,PAS,EX,,5 Years,,1
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Ronald Cass ,PA,WC,, ,,2
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Ilona Cohen ,PA,WC,, ,,3
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Steven Croley ,PA,WC,, ,,4
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Danielle Gray ,PA,WC,, ,,5
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Ronald Klain ,PA,WC,, ,,6
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Theodore Olson ,PA,WC,, ,,7
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Edith Ramirez ,PA,WC,, ,,8
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Jonathan Sallet ,PA,WC,, ,,9
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Jane Sherburne ,PA,WC,, ,,10
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Council Member,Geovette Washington ,PA,WC,, ,,11
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Executive Director,Career Incumbent,CA,ES,, ,,12
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",General Counsel,Career Incumbent,CA,ES,, ,,13
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,37827,,,"Washington, DC",Executive Assistant to the Chairman,Vacant,SC,GS,15, ,,100
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Chairman / General Public),Milford Wayne Donaldson ,PA,PD,, ,06-10-17,1
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Vice Chairman / General Public),Teresa Leger ,PA,PD,, ,,2
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (General Public),Bradford White ,PA,PD,, ,06-10-18,3
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (General Public),Vacant,PA,PD,, ,06-10-17,4
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Expert),Terry Guen ,PA,PD,, ,,5
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Expert),Dorothy Lippert ,PA,PD,, ,,6
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Expert),Lynne Sebastian ,PA,PD,, ,,7
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Expert),Robert Stanton ,PA,PD,, ,06-10-18,8
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,,1,"Washington, DC",Council Member (Governor),Vacant,PA,PD,, ,,9
