Agcy Name,Org Name,Pborg Seq,Pborg Seq Managed By,Org Order,Location,Title,Name of Incumbent,Type of Appt,Pay Plan,Pay,Tenure,Expires,Pb Order
DEPARTMENT OF AGRICULTURE,DEPARTMENT OF AGRICULTURE,39928,,1,,,,,,,,,
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Secretary,Thomas James Vilsack ,PAS,EX,I, ,,5
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Chief of Staff,Karla Ann Thieman ,NA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Deputy Chief of Staff for Operations,Bianca Michele Oden ,NA,ES,, ,,15
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Deputy Chief of Staff for Policy,Melinda Cep ,NA,ES,, ,,20
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor,Vacant,,ES,, ,,25
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC","Director, Office of Tribal Relations",Leslie Ann Weelock ,NA,ES,, ,,30
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor to the Secretary ,Vacant,,ES,, ,,35
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor ,Jennifer M. Yezak ,NA,ES,, ,,40
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor,Jeffrey Eschmeyer ,NA,ES,, ,,45
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor,Sara Francis Eckhouse ,NA,ES,, ,,50
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor,Vacant,,ES,, ,,55
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor to the Secretary,Vacant,,ES,, ,,60
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Director of the Office of Faith Based and Neighborhood Outreach,Norah Ann Deluhery ,SC,GS,15, ,,65
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",White House Liaison,Jessie Lee Crabb ,SC,GS,15, ,,70
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Special Assistant and  Advisor to the Secretary,Omar Farook Syed ,SC,GS,14, ,,75
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor,Adam Gregory Tarr ,SC,GS,15, ,,80
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Senior Advisor,Sedelta Rose Oosahwee ,SC,GS,14, ,,85
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Confidential Assistant,Jonathan Barnett ,SC,GS,9, ,,90
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Special Assistant,Mary Kathryn Hart ,SC,GS,9, ,,95
DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY,39929,39928,10,"Washington, DC",Special Assistant,Joshua S. Crandell ,SC,GS,7, ,,100
DEPARTMENT OF AGRICULTURE,Office of the Deputy Secretary,39931,39929,20,"Washington, DC",Deputy Secretary,Vacant,PAS,EX,II, ,,5
DEPARTMENT OF AGRICULTURE,Office of the Deputy Secretary,39931,39929,20,"Washington, DC",Chief of Staff,Ashlee N. Johnson ,NA,ES,, ,,25
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Assistant Secretary for Congressional Relations,Todd Allen Batta ,PAS,EX,IV, ,,5
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Deputy Assistant Secretary for Congressional Relations,Trevor N. Reuschel ,NA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC","Director, Intergovernmental Affairs",Sarah E. Scanlon ,SC,GS,15, ,,15
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Director of Oversight,Reece A. Rushing ,SC,GS,14, ,,20
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC","Deputy Director, Intergovernmental Affairs",Charles M. Makings ,SC,GS,13, ,,25
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Legislative Analyst,Rachel A. Elman ,SC,GS,12, ,,30
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Legislative Analyst,Margaret Jennifer Devine ,SC,GS,11, ,,35
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Legislative Analyst,Joseph J. Petrzelka ,SC,GS,9, ,,40
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Legislative Analyst,Alejandro Steven Jacquez ,SC,GS,9, ,,45
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Legislative Analyst,Sara Lea Neagu ,SC,GS,9, ,,50
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Confidential Assistant,Cristela S. Ruiz ,SC,GS,9, ,,55
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Congressional Relations,39932,39929,30,"Washington, DC",Confidential Assistant,Brandon Kenneth Honeycutt ,SC,GS,7, ,,60
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Director of Communications,Matthew Michael Herrick ,NA,ES,, ,,5
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Director of Scheduling and Advance,Christina Iskandar ,NA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Deputy Director,Joanne Erica Peters ,SC,GS,15, ,,15
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Press Secretary,Catherine E. Cochran ,SC,GS,14, ,,20
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Senior Advisor for Strategic Communications,Hillary R. Caron ,SC,GS,14, ,,25
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Advance Lead,Malcolm Xavier Eve ,SC,GS,14, ,,30
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Deputy Director of Scheduling,Christopher Stephen Mussett ,SC,GS,12, ,,35
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Scheduler,Elizabeth Ivey Purcell ,SC,GS,11, ,,40
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Deputy Press Secretary,Jessica McCarron ,SC,GS,9, ,,45
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Deputy Press Secretary,Adriane Brown ,SC,GS,9, ,,50
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Advance Associate,Benjamin Robert McIntosh ,SC,GS,9, ,,55
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Scheduler,Alexandra Nicole Day ,SC,GS,7, ,,60
DEPARTMENT OF AGRICULTURE,Office of Communications,39910,39929,40,"Washington, DC",Press Assistant,Yewande Omolola Addie ,SC,GS,7, ,,65
DEPARTMENT OF AGRICULTURE,Office of the Chief Economist,39958,39929,50,"Washington, DC",Chief Economist,Career Incumbent,CA,ES,, ,,5
DEPARTMENT OF AGRICULTURE,Office of Budget and Program Analysis,39925,39929,60,"Washington, DC",Director of Budget and Program Analysis,Career Incumbent,CA,ES,, ,,5
DEPARTMENT OF AGRICULTURE,Office of Budget and Program Analysis,39925,39929,60,"Washington, DC",Associate Director,Career Incumbent,CA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of Budget and Program Analysis,39925,39929,60,"Washington, DC","Deputy Director, Budget, Legislative and Regulation Systems",Career Incumbent,CA,ES,, ,,15
DEPARTMENT OF AGRICULTURE,Office of Budget and Program Analysis,39925,39929,60,"Washington, DC",Deputy Director for Program Analysis,Career Incumbent,CA,ES,, ,,20
DEPARTMENT OF AGRICULTURE,Office of Budget and Program Analysis,39925,39929,60,"Washington, DC","Director, Budget Control and Analysis Division",Career Incumbent,CA,ES,, ,,25
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC",Chief Information Officer,Career Incumbent,CA,ES,, ,,5
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC","Deputy, Chief Information Officer",Joyce Hunter ,NA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC","Associate Chief Information Officer, Technology Planning, Architecture and E-Government",Career Incumbent,CA,ES,, ,,15
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC","Associate Chief Information Officer for Policy, E-Government and Fair Information Practices",Career Incumbent,CA,ES,, ,,20
